entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating
11,1970-01-01 00:00:00.108172833,1.455474302,-0.2287319666,-0.1236025375,0.1081728333,0.2787813246,0.1870683879,-0.04332951829,tim,5b+,1,1,hard
11,1970-01-01 00:00:00.309462833,-0.7670254701,1.458371598,-2.384477001,0.3094628333,0.4778269231,-0.03375478834,-0.1312257946,tim,5b+,1,1,hard
11,1970-01-01 00:00:00.510752833,-0.8079900397,0.1605657113,-2.729380864,0.5107528333,0.2929029763,0.8058664203,0.2835767865,tim,5b+,1,1,hard
11,1970-01-01 00:00:00.712042750,0.03681173086,-1.684289299,2.080403661,0.71204275,-0.9452289343,0.4837803841,-0.2482786477,tim,5b+,1,1,hard
11,1970-01-01 00:00:00.913332750,1.857763324,-0.382432462,0.3594704461,0.91333275,-0.5815175772,-0.6079047322,-0.4733346701,tim,5b+,1,1,hard
11,1970-01-01 00:00:01.114622750,-0.9498225877,-0.5186737561,2.424615798,1.11462275,-0.2347238213,-0.5378149748,-0.34610641,tim,5b+,1,1,hard
11,1970-01-01 00:00:01.315912750,-0.1024507831,1.74003256,0.2874730951,1.31591275,0.2727536261,0.1530503631,0.002241521841,tim,5b+,1,1,hard
11,1970-01-01 00:00:01.517201750,0.5482138165,0.05764536023,-0.7328999501,1.51720175,0.0904436633,0.4762369692,-0.08682155609,tim,5b+,1,1,hard
11,1970-01-01 00:00:01.718491583,-0.04056666657,-0.3236580044,0.06175302923,1.718491583,-0.2112189084,0.06624578685,-0.1306462735,tim,5b+,1,1,hard
11,1970-01-01 00:00:01.919781583,-1.131375272,0.5591633856,0.6227758294,1.919781583,-0.2106181085,-0.7108131051,-0.1688030362,tim,5b+,1,1,hard
11,1970-01-01 00:00:02.121071583,-0.8861467016,0.9719399732,-0.4556632832,2.121071583,-0.1681667864,-0.8195207715,-0.1649203598,tim,5b+,1,1,hard
11,1970-01-01 00:00:02.322361583,0.2536373046,-0.3967049307,-1.06084104,2.322361583,0.2530109286,-0.3437996507,0.1040706411,tim,5b+,1,1,hard
11,1970-01-01 00:00:02.523651583,0.7677736214,0.03894479513,-0.9428372115,2.523651583,0.4660749137,0.5482731462,0.2570961118,tim,5b+,1,1,hard
11,1970-01-01 00:00:02.724941250,-0.08073879227,-0.7859458905,-1.154940282,2.72494125,0.2380535156,0.1275598109,0.06681238115,tim,5b+,1,1,hard
11,1970-01-01 00:00:02.926231250,-0.5919662654,1.715635053,-0.2137858987,2.92623125,0.383712709,0.457700938,0.1438566446,tim,5b+,1,1,hard
11,1970-01-01 00:00:03.127521250,-1.287103727,0.7558549494,-0.2339242941,3.12752125,0.2244761288,0.9319534302,0.2367268652,tim,5b+,1,1,hard
11,1970-01-01 00:00:03.328811250,-0.7891177127,-0.2421858251,-0.6828676647,3.32881125,0.01713941246,0.2816888392,0.2307508886,tim,5b+,1,1,hard
